Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
30112459,Ocean of Storms,Christopher Mari,"Mari, Christopher",Jeremy K. Brown,"=""1503938778""","=""9781503938779""",0,3.77,47North,Paperback,400,2016,2016,,2016/11/25,"to-read, ab-meta-undetermined, ab-meta-unpublished-yet, g-post-apocalyptic","to-read (#616), ab-meta-undetermined (#135), ab-meta-unpublished-yet (#8), g-post-apocalyptic (#175)",to-read,,,,,,,0,,,,,
28220642,Last Year,Robert Charles Wilson,"Wilson, Robert Charles",,"=""0765332639""","=""9780765332639""",0,3.93,Tor Books,Hardcover,352,2016,2016,,2016/11/25,"to-read, ab-meta-undetermined, g-time-travel, ab-meta-unpublished-yet","to-read (#615), ab-meta-undetermined (#134), g-time-travel (#185), ab-meta-unpublished-yet (#7)",to-read,,,,,,,0,,,,,
28957355,Pirate Utopia,Bruce Sterling,"Sterling, Bruce",John Coulthart,"=""1616962364""","=""9781616962364""",0,3.75,Tachyon Publications,Hardcover,192,2016,,,2016/11/15,"to-read, ab-meta-undetermined, g-alt-history, g-steampunk","to-read (#614), ab-meta-undetermined (#133), g-alt-history (#18), g-steampunk (#14)",to-read,,,,,,,0,,,,,
32109569,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"Taylor, Dennis E.",Dennis  Taylor,"=""""","=""""",0,4.45,Worldbuilders Press,Kindle Edition,304,2016,2016,,2016/11/14,"g-colonization, g-space-opera, z-series-1, z-len-05-10-hours, ku-cheap, ab-meta-exists, currently-reading","g-colonization (#17), g-space-opera (#54), z-series-1 (#233), z-len-05-10-hours (#157), ku-cheap (#73), ab-meta-exists (#356), currently-reading (#3)",currently-reading,,,Length: 09 hrs and 30 mins <br/>Narrated by: Ray Porter<br/>,,,,0,,,,,
23719481,Mr. Splitfoot,Samantha Hunt,"Hunt, Samantha",,"=""0544526708""","=""9780544526709""",0,3.67,Houghton Mifflin Harcourt,Hardcover,322,2016,2016,,2016/11/08,"to-read, ab-meta-undetermined, g-horror, g-urban-fantasy","to-read (#613), ab-meta-undetermined (#132), g-horror (#12), g-urban-fantasy (#84)",to-read,,,,,,,0,,,,,
27220730,We Are the Ants,Shaun David Hutchinson,"Hutchinson, Shaun David",,"=""1481475207""","=""9781481475204""",0,4.26,Simon Pulse,Paperback,464,2016,2016,,2016/11/01,to-read,to-read (#612),to-read,,,,,,,0,,,,,
28595941,Arcanum Unbounded: The Cosmere Collection,Brandon Sanderson,"Sanderson, Brandon",,"=""0765391163""","=""9780765391162""",0,4.63,Tor Books,Hardcover,672,2016,2016,,2016/10/28,"to-read, ab-meta-undetermined, ab-meta-unpublished-yet, g-fantasy, g-short-stories","to-read (#611), ab-meta-undetermined (#131), ab-meta-unpublished-yet (#6), g-fantasy (#31), g-short-stories (#10)",to-read,,,,,,,0,,,,,
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",5,4.76,Tor Books,Hardcover,1087,2014,2014,2016/11/20,2016/10/05,"g-fantasy, z-series-2, z-len-40-plus-hours, z-read-src-un","g-fantasy (#30), z-series-2 (#42), z-len-40-plus-hours (#10), z-read-src-un (#85)",read,"Wow! As with the first one, I was really not expecting to like this book (and series) so much. This one slowed a little bit in the middle, but the ending was super-exciting, and the epilogue made me tingly with excitement for the next book, which I'm sure is YEARS away.",,"Length: 48 hrs and 15 mins<br/>Narrated By Michael Kramer, Kate Reading<br/>",,,,0,,,,,
29241335,Dracula vs. Hitler,Patrick Sheane Duncan,"Duncan, Patrick Sheane",,"=""""","=""""",0,3.87,Inkshares,Hardcover,441,2016,2016,,2016/10/04,"to-read, ab-meta-undetermined, g-alt-history, g-fantasy, g-vampires","to-read (#610), ab-meta-undetermined (#130), g-alt-history (#17), g-fantasy (#29), g-vampires (#5)",to-read,,,,,,,0,,,,,
57498,The Salt Roads,Nalo Hopkinson,"Hopkinson, Nalo",,"=""0446677132""","=""9780446677134""",0,3.86,Grand Central Publishing,Paperback,416,2004,2004,,2016/09/03,"to-read, ab-meta-undetermined, g-urban-fantasy, g-time-travel, ku-undetermined","to-read (#609), ab-meta-undetermined (#129), g-urban-fantasy (#83), g-time-travel (#184), ku-undetermined (#87)",to-read,,,,,,,0,,,,,
28962452,Revenger,Alastair Reynolds,"Reynolds, Alastair",,"=""0575090537""","=""9780575090538""",0,3.94,Gollancz,Hardcover,425,2016,2016,,2016/09/02,"to-read, ab-meta-undetermined, g-space-opera, ku-undetermined","to-read (#608), ab-meta-undetermined (#128), g-space-opera (#53), ku-undetermined (#86)",to-read,,,,,,,0,,,,,
27417551,Ninth City Burning,J. Patrick Black,"Black, J. Patrick",,"=""1101991445""","=""9781101991442""",0,3.60,Ace,Hardcover,482,2016,2016,,2016/09/02,"to-read, ab-meta-undetermined, g-aliens, g-post-apocalyptic, ku-undetermined","to-read (#607), ab-meta-undetermined (#127), g-aliens (#29), g-post-apocalyptic (#172), ku-undetermined (#85)",to-read,,,,,,,0,,,,,
613749,Great Work of Time,John Crowley,"Crowley, John",,"=""0553293192""","=""9780553293197""",0,4.04,Spectra,Mass Market Paperback,144,1991,1989,,2016/09/02,"to-read, g-time-travel, zz-ab-meta-none-201611, zz-ab-meta-none-all-dates, zz-eb-none, ku-no","to-read (#606), g-time-travel (#183), zz-ab-meta-none-201611 (#2), zz-ab-meta-none-all-dates (#97), zz-eb-none (#12), ku-no (#184)",to-read,,,,,,,0,,,,,
890300,The Corridors of Time,Poul Anderson,"Anderson, Poul",,"=""0425050483""","=""9780425050484""",0,3.54,Berkley,Mass Market Paperback,186,1981,1965,,2016/09/02,"to-read, ab-meta-undetermined, g-time-travel, ku-undetermined","to-read (#605), ab-meta-undetermined (#126), g-time-travel (#182), ku-undetermined (#84)",to-read,,,,,,,0,,,,,
11452134,Palimpsest,Charles Stross,"Stross, Charles",J.K. Potter,"=""1596064218""","=""9781596064218""",0,3.78,Subterranean Press,Hardcover,131,2011,2009,,2016/09/02,"to-read, ab-meta-undetermined, g-time-travel, ku-undetermined","to-read (#604), ab-meta-undetermined (#125), g-time-travel (#181), ku-undetermined (#83)",to-read,,,,,,,0,,,,,
